one,two,three,four,five
302,分析,fēn xī,"1. to analyze
2. analysis
3. CL:個|个[ge4]
",11
303,分配,fēn pèi,"1. to distribute
2. to assign
3. to allocate
4. to partition (a hard drive)
",14
304,切,qiè,"1. to cut
2. to slice
3. tangent (math)
4. definitely
5. absolutely (not)
6. (scoffing or dismissive interjection) Yeah, right.
7. Tut!
8. to grind
9. close to
10. eager
11. to correspond to
12. see also 反切[fan3 qie4]
",4
305,划,huà,"1. to row
2. to paddle
3. profitable
4. worth (the effort)
5. it pays (to do sth)
6. to cut
7. to slash
8. to scratch (cut into the surface of sth)
9. to strike (a match)
10. to delimit
11. to transfer
12. to assign
13. to plan
14. to draw (a line)
15. stroke of a Chinese character
",4
306,列车,liè chē,"1. (railway) train
",41
307,则,zé,"1. (conjunction used to express contrast with a previous clause) but
2. then
3. standard
4. norm
5. principle
6. to imitate
7. to follow
8. classifier for written items
",2
308,创业,chuàng yè,"1. to begin an undertaking
2. to start a major task
3. to initiate
4. to venture
5. venture
6. entrepreneurship
",44
309,创作,chuàng zuò,"1. to create
2. to produce
3. to write
4. creative work
5. creation
6. CL:個|个[ge4]
",44
310,创新,chuàng xīn,"1. innovation
2. to bring forth new ideas
3. to blaze new trails
",41
311,创立,chuàng lì,"1. to establish
2. to set up
3. to found
",44
312,创造,chuàng zào,"1. to create
2. to bring about
3. to produce
4. to set (a record)
",44
313,初步,chū bù,"1. initial
2. preliminary
3. tentative
",14
314,初级,chū jí,"1. junior
2. primary
",12
315,删除,shān chú,"1. to delete
2. to cancel
",12
316,利息,lì xī,"1. interest (on a loan)
2. CL:筆|笔[bi3]
",41
317,利润,lì rùn,"1. profits
",44
318,利用,lì yòng,"1. to exploit
2. to make use of
3. to use
4. to take advantage of
5. to utilize
",44
319,利益,lì yì,"1. benefit
2. (in sb's) interest
3. CL:個|个[ge4]
",44
320,别墅,bié shù,"1. villa
2. CL:幢[zhuang4],座[zuo4]
",24
321,别扭,biè niu,"1. awkward
2. difficult
3. uncomfortable
4. not agreeing
5. at loggerheads
6. gauche
",40
322,别致,bié zhì,"1. unusual
2. unique
3. variant of 別緻|别致[bie2 zhi4]
",24
323,到达,dào dá,"1. to reach
2. to arrive
",42
324,制作,zhì zuò,"1. to make
2. to manufacture
",44
325,制定,zhì dìng,"1. to draw up
2. to formulate
",44
326,制度,zhì dù,"1. system (e.g. political, adminstrative etc)
2. institution
3. CL:個|个[ge4]
",44
327,制造,zhì zào,"1. to manufacture
2. to make
",44
328,刹那,chà nà,"1. an instant (Sanskrit: ksana)
2. split second
3. the twinkling of an eye
",44
329,刺,cì,"1. (onom.) whoosh
2. thorn
3. sting
4. thrust
5. to prick
6. to pierce
7. to stab
8. to assassinate
9. to murder
",4
330,刺激,cì jī,"1. to provoke
2. to irritate
3. to upset
4. to stimulate
5. to excite
6. irritant
",41
331,刻苦,kè kǔ,"1. hardworking
2. assiduous
",43
332,前途,qián tú,"1. prospects
2. future outlook
3. journey
",22
333,剥削,bō xuē,"1. to exploit
2. exploitation
",11
334,剩,shèng,"1. to remain
2. to be left
3. to have as remainder
",4
335,剪刀,jiǎn dāo,"1. scissors
2. CL:把[ba3]
",31
336,力量,lì liang,"1. power
2. force
3. strength
",40
337,劝,quàn,"1. to advise
2. to urge
3. to try to persuade
4. to exhort
5. to console
6. to soothe
",4
338,办理,bàn lǐ,"1. to handle
2. to transact
3. to conduct
",43
339,功能,gōng néng,"1. function
2. capability
",12
340,动力,dòng lì,"1. power
2. motion
3. propulsion
4. force
",44
341,动员,dòng yuán,"1. to mobilize
2. to arouse
3. mobilization
4. CL:次[ci4],個|个[ge4]
",42
342,动态,dòng tài,"1. movement
2. motion
3. development
4. trend
5. dynamic (science)
",44
343,动手,dòng shǒu,"1. to set about (a task)
2. to hit
3. to punch
4. to touch
",43
344,动机,dòng jī,"1. motor
2. locomotive
3. motive
4. motivation
5. intention
",41
345,动脉,dòng mài,"1. artery
",44
346,动荡,dòng dàng,"1. variant of 動蕩|动荡[dong4 dang4]
2. unrest (social or political)
3. turmoil
4. upheaval
5. commotion
",44
347,动身,dòng shēn,"1. to go on a journey
2. to leave
",41
348,动静,dòng jìng,"1. sound of activity or people talking
2. news of activity
",44
349,劳动,láo dòng,"1. work
2. toil
3. physical labor
4. CL:次[ci4]
",24
350,劳驾,láo jià,"1. excuse me
",24
351,勇敢,yǒng gǎn,"1. brave
2. courageous
",33
352,勇气,yǒng qì,"1. courage
2. valor
",34
353,勤奋,qín fèn,"1. hardworking
2. diligent
",24
354,勺子,sháo zi,"1. scoop
2. ladle
3. CL:把[ba3]
",20
355,勿,wù,"1. do not
",4
356,包含,bāo hán,"1. to contain
2. to embody
3. to include
",12
357,包围,bāo wéi,"1. to surround
2. to encircle
3. to hem in
",12
358,包庇,bāo bì,"1. to shield
2. to harbor
3. to cover up
",14
359,包括,bāo kuò,"1. to comprise
2. to include
3. to involve
4. to incorporate
5. to consist of
",14
360,包袱,bāo fu,"1. wrapping cloth
2. a bundle wrapped in cloth
3. load
4. weight
5. burden
6. funny part
7. punchline
",10
361,包装,bāo zhuāng,"1. to pack
2. to package
3. to wrap
4. packaging
",11
362,包裹,bāo guǒ,"1. to wrap up
2. to bind up
3. bundle
4. parcel
5. package
6. CL:個|个[ge4]
",13
363,匆忙,cōng máng,"1. hasty
2. hurried
",12
364,化学,huà xué,"1. chemistry
2. chemical
",42
365,北京,Běi jīng,"1. Beijing, capital of People's Republic of China
2. Peking
3. PRC government
",31
366,北极,běi jí,"1. the North Pole
2. the Arctic Pole
3. the north magnetic pole
",32
367,匹,pǐ,"1. mate
2. one of a pair
3. classifier for horses, mules etc
4. Taiwan pr. [pi1]
5. ordinary person
6. classifier for cloth: bolt
7. horsepower
8. variant of 匹[pi3]
9. classifier for cloth: bolt
",3
368,区别,qū bié,"1. difference
2. to distinguish
3. to discriminate
4. to make a distinction
5. CL:個|个[ge4]
",12
369,十分,shí fēn,"1. very
2. completely
3. utterly
4. extremely
5. absolutely
6. hundred percent
7. to divide into ten equal parts
",21
370,千万,qiān wàn,"1. ten million
2. countless
3. many
4. one must by all means
",14
371,升,shēng,"1. to ascend
2. to rise to the rank of
3. to promote
4. to hoist
5. liter
6. measure for dry grain equal to one-tenth dou 斗[dou3]
7. variant of 升[sheng1]
8. to ascend
9. to rise in rank
10. variant of 升[sheng1]
",1
372,华裔,Huá yì,"1. ethnic Chinese
2. non-Chinese citizen of Chinese ancestry
",24
373,卑鄙,bēi bǐ,"1. base
2. mean
3. contemptible
4. despicable
",13
374,单元,dān yuán,"1. unit (forming an entity)
2. element
3. (in a residential building) entrance or staircase
",12
375,单纯,dān chún,"1. simple
2. pure
3. unsophisticated
4. merely
5. purely
",12
376,博物馆,bó wù guǎn,"1. museum
",243
377,占,zhàn,"1. variant of 占[zhan4]
2. to observe
3. to divine
4. to take possession of
5. to occupy
6. to take up
",4
378,占线,zhàn xiàn,"1. busy (telephone line)
",44
379,卡车,kǎ chē,"1. truck
2. CL:輛|辆[liang4]
",31
380,卧室,wò shì,"1. bedroom
2. CL:間|间[jian1]
",44
381,印刷,yìn shuā,"1. to print
2. printing
",41
382,印象,yìn xiàng,"1. impression
",44
383,危害,wēi hài,"1. to jeopardize
2. to harm
3. to endanger
4. harmful effect
5. damage
6. CL:個|个[ge4]
",14
384,危险,wēi xiǎn,"1. danger
2. dangerous
",13
385,却,què,"1. old variant of 卻|却[que4]
2. but
3. yet
4. however
5. while
6. to go back
7. to decline
8. to retreat
9. nevertheless
10. even though
",4
386,压力,yā lì,"1. pressure
",14
387,厘米,lí mǐ,"1. centimeter
2. also written 釐米|厘米
3. centimeter
4. also written 厘米
",23
388,原则,yuán zé,"1. principle
2. doctrine
3. CL:個|个[ge4]
",22
389,原因,yuán yīn,"1. cause
2. origin
3. root cause
4. reason
5. CL:個|个[ge4]
",21
390,原料,yuán liào,"1. raw material
2. CL:個|个[ge4]
",24
391,原来,yuán lái,"1. original
2. former
3. originally
4. formerly
5. at first
6. so, actually, as it turns out
",22
392,原谅,yuán liàng,"1. to excuse
2. to forgive
3. to pardon
",24
393,去世,qù shì,"1. to pass away
2. to die
",44
394,县,xiàn,"1. county
",4
395,参与,cān yù,"1. to participate (in sth)
",14
396,参照,cān zhào,"1. to consult a reference
2. to refer to (another document)
",14
397,参考,cān kǎo,"1. consultation
2. reference
3. to consult
4. to refer
",13
398,参谋,cān móu,"1. staff officer
2. to give advice
",12
399,叉子,chā zi,"1. fork
2. CL:把[ba3]
",10
400,及格,jí gé,"1. to pass an exam or a test
2. to meet a minimum standard
",22
401,友好,yǒu hǎo,"1. Youhao district of Yichun city 伊春市[Yi1 chun1 shi4], Heilongjiang
2. friendly
3. amicable
4. close friend
",33
402,友谊,yǒu yì,"1. companionship
2. fellowship
3. friendship
",34
403,双方,shuāng fāng,"1. bilateral
2. both sides
3. both parties involved
",11
404,反复,fǎn fù,"1. variant of 反覆|反复[fan3 fu4]
2. repeatedly
3. over and over
4. to upend
5. unstable
6. to come and go
7. (of an illness) to return
",34
405,反应,fǎn yìng,"1. to react
2. to respond
3. reaction
4. response
5. reply
6. chemical reaction
7. CL:個|个[ge4]
",34
406,反映,fǎn yìng,"1. to mirror
2. to reflect
3. mirror image
4. reflection
5. (fig.) to report
6. to make known
7. to render
",34
407,反正,fǎn zhèng,"1. anyway
2. in any case
3. to come over from the enemy's side
",34
408,反而,fǎn ér,"1. instead
2. on the contrary
3. contrary (to expectations)
",32
409,反驳,fǎn bó,"1. to retort
2. to refute
",32
410,发动,fā dòng,"1. to start
2. to launch
3. to unleash
4. to mobilize
5. to arouse
",14
411,发呆,fā dāi,"1. to stare blankly
2. to be stunned
3. to be lost in thought
",11
412,发射,fā shè,"1. to shoot (a projectile)
2. to fire (a rocket)
3. to launch
4. to emit (a particle)
5. to discharge
6. emanation
7. emission
",14
413,发布,fā bù,"1. to release
2. to issue
3. to announce
4. to distribute
5. also written 發布|发布[fa1 bu4]
6. to release
7. to issue
8. to announce
9. to distribute
",14
414,发愁,fā chóu,"1. to worry
2. to fret
3. to be anxious
4. to become sad
",12
415,发扬,fā yáng,"1. to develop
2. to make full use of
",12
416,发抖,fā dǒu,"1. to tremble
2. to shake
3. to shiver
",13
417,发挥,fā huī,"1. to display
2. to exhibit
3. to bring out implicit or innate qualities
4. to express (a thought or moral)
5. to develop (an idea)
6. to elaborate (on a theme)
",11
418,发明,fā míng,"1. to invent
2. an invention
3. CL:個|个[ge4]
",12
419,发炎,fā yán,"1. to become inflamed
2. inflammation
",12
420,发票,fā piào,"1. invoice
2. receipt or bill for purchase
",14
421,发育,fā yù,"1. to develop
2. to mature
3. growth
4. development
5. (sexually) mature
",14
422,发行,fā xíng,"1. to publish
2. to issue (stocks, currency etc)
3. to release
4. to distribute (a film)
",12
423,发表,fā biǎo,"1. to issue
2. to publish
",13
424,发觉,fā jué,"1. to become aware
2. to detect
3. to realize
4. to perceive
",12
425,发言,fā yán,"1. to make a speech
2. statement
3. utterance
4. CL:個|个[ge4]
",12
426,发誓,fā shì,"1. to vow
2. to pledge
3. to swear
",14
427,发财,fā cái,"1. to get rich
",12
428,发达,fā dá,"1. developed (country etc)
2. flourishing
3. to develop
",12
429,取,qǔ,"1. to take
2. to get
3. to choose
4. to fetch
",3
430,取消,qǔ xiāo,"1. to cancel
2. cancellation
",31
431,受伤,shòu shāng,"1. to sustain injuries
2. wounded (in an accident etc)
3. harmed
",41
432,变故,biàn gù,"1. an unforeseen event
2. accident
3. misfortune
",44
433,变质,biàn zhì,"1. to degenerate
2. to go bad
3. to deteriorate
4. metamorphosis
",44
434,变迁,biàn qiān,"1. changes
2. vicissitudes
",41
435,叙述,xù shù,"1. to relate (a story or information)
2. to tell or talk about
3. to recount
4. narration
5. telling
6. narrative
7. account
",44
436,口味,kǒu wèi,"1. a person's preferences
2. tastes (in food)
3. flavor
",34
437,古代,gǔ dài,"1. ancient times
2. olden times
",34
438,古典,gǔ diǎn,"1. classical
",33
439,只好,zhǐ hǎo,"1. without any better option
2. to have to
3. to be forced to
",33
440,只要,zhǐ yào,"1. if only
2. so long as
",34
441,叫,jiào,"1. to shout
2. to call
3. to order
4. to ask
5. to be called
6. by (indicates agent in the passive mood)
7. variant of 叫[jiao4]
",4
442,召开,zhào kāi,"1. to convene (a conference or meeting)
2. to convoke
3. to call together
",41
443,叮嘱,dīng zhǔ,"1. to warn repeatedly
2. to urge
3. to exhort again and again
",13
444,可怕,kě pà,"1. awful
2. dreadful
3. fearful
4. formidable
5. frightful
6. scary
7. hideous
8. horrible
9. terrible
10. terribly
",34
445,可见,kě jiàn,"1. it can clearly be seen (that this is the case)
2. it is (thus) clear
3. clear
4. visible
",34
446,可靠,kě kào,"1. reliable
",34
447,台,tái,"1. Taiwan (abbr.)
2. surname Tai
3. (classical) you (in letters)
4. variant of 臺|台[tai2]
5. desk
6. table
7. counter
8. Taiwan (abbr.)
9. platform
10. stage
11. terrace
12. stand
13. support
14. station
15. broadcasting station
16. classifier for vehicles or machines
17. typhoon
",2
448,台阶,tái jiē,"1. steps
2. flight of steps
3. step (over obstacle)
4. fig. way out of an embarrassing situation
5. bench (geology)
",21
449,叶子,yè zi,"1. foliage
2. leaf
3. CL:片[pian4]
",40
450,号,hào,"1. roar
2. cry
3. CL:個|个[ge4]
4. ordinal number
5. day of a month
6. mark
7. sign
8. business establishment
9. size
10. ship suffix
11. horn (wind instrument)
12. bugle call
13. assumed name
14. to take a pulse
15. classifier used to indicate number of people
",4
451,叼,diāo,"1. to hold with one's mouth (as a smoker with a cigarette or a dog with a bone)
",1
452,吃,chī,"1. to eat
2. to consume
3. to eat at (a cafeteria etc)
4. to eradicate
5. to destroy
6. to absorb
7. to suffer
8. to stammer (Taiwan pr. for this sense is [ji2])
9. variant of 吃[chi1]
",1
453,吃亏,chī kuī,"1. to suffer losses
2. to come to grief
3. to lose out
4. to get the worst of it
5. to be at a disadvantage
6. unfortunately
",11
454,吃力,chī lì,"1. to entail strenuous effort
2. to toil at a task
3. strenuous
4. laborious
5. strain
",14
455,吃苦,chī kǔ,"1. to bear hardships
",13
456,各自,gè zì,"1. each
2. respective
3. apiece
",44
457,合作,hé zuò,"1. to cooperate
2. to collaborate
3. to work together
4. cooperation
5. CL:個|个[ge4]
",24
458,合同,hé tong,"1. (business) contract
2. CL:個|个[ge4]
",20
459,合影,hé yǐng,"1. to take a joint photo
2. group photo
",23
460,合法,hé fǎ,"1. lawful
2. legitimate
3. legal
",23
461,合理,hé lǐ,"1. rational
2. reasonable
3. fair
",23
462,吊,diào,"1. to suspend
2. to hang up
3. to hang a person
4. a string of 100 cash (arch.)
5. to lament
6. to condole with
7. variant of 吊[diao4]
",4
463,同情,tóng qíng,"1. to sympathize with
2. sympathy
",22
464,同时,tóng shí,"1. at the same time
2. simultaneously
",22
465,名字,míng zi,"1. name (of a person or thing)
2. CL:個|个[ge4]
",20
466,名片,míng piàn,"1. (business) card
",24
467,名牌,míng pái,"1. famous brand
",22
468,后果,hòu guǒ,"1. consequences
2. aftermath
",43
469,后背,hòu bèi,"1. the back (human anatomy)
2. the back part of sth
",44
470,吐,tǔ,"1. to spit
2. to put
3. to say
4. to vomit
5. to throw up
",3
